id,Title,Movie Link,Year,Duration,MPA,Rating,Votes,budget,grossWorldWide,opening_weekend_Gross,genres
tt0073453,Night Moves,https://www.imdb.com/title/tt0073453,1975,1h 40m,R,7.1,19K,,,,"['Hard-boiled Detective', 'Crime', 'Drama', 'Mystery', 'Thriller']"
tt0072730,A Boy and His Dog,https://www.imdb.com/title/tt0072730,1975,1h 31m,R,6.4,20K,400000.0,,,"['Dark Comedy', 'Dystopian Sci-Fi', 'Satire', 'Comedy', 'Drama', 'Sci-Fi', 'Thriller']"
tt0069930,Countess Perverse,https://www.imdb.com/title/tt0069930,1975,1h 27m,,5.3,767,,,,"['Drama', 'Horror', 'Thriller']"
tt0073349,Mandingo,https://www.imdb.com/title/tt0073349,1975,2h 7m,R,6.5,4.4K,,,,"['Drama', 'History', 'Romance']"
tt0073747,The Stepford Wives,https://www.imdb.com/title/tt0073747,1975,1h 55m,PG,6.9,20K,,,,"['Artificial Intelligence', 'Horror', 'Mystery', 'Sci-Fi', 'Thriller']"
tt0072735,Breakheart Pass,https://www.imdb.com/title/tt0072735,1975,1h 35m,PG,6.7,9.3K,,,,"['Drama', 'Mystery', 'Western']"
tt0073470,Strip Nude for Your Killer,https://www.imdb.com/title/tt0073470,1975,1h 38m,Not Rated,5.6,3.3K,,,,"['Erotic Thriller', 'Giallo', 'Slasher Horror', 'Horror', 'Mystery', 'Thriller']"
tt0073092,Hard Times,https://www.imdb.com/title/tt0073092,1975,1h 33m,PG,7.2,13K,2700000.0,,,"['Crime', 'Drama', 'Sport']"
tt0073363,Manila in the Claws of Light,https://www.imdb.com/title/tt0073363,1975,2h 5m,TV-14,7.8,2.8K,,,,"['Drama', 'Mystery']"
tt0071411,Dersu Uzala,https://www.imdb.com/title/tt0071411,1975,2h 22m,G,8.2,34K,4000000.0,14480.0,,"['Docudrama', 'Period Drama', 'Adventure', 'Biography', 'Drama']"
tt0073107,Hester Street,https://www.imdb.com/title/tt0073107,1975,1h 29m,PG,7.0,2.1K,350000.0,,,"['Drama', 'Romance']"
tt0072709,Black Moon,https://www.imdb.com/title/tt0072709,1975,1h 40m,R,6.1,6.4K,,,,"['Fantasy', 'Horror', 'Mystery', 'Sci-Fi']"
tt0074682,The Sensuous Nurse,https://www.imdb.com/title/tt0074682,1975,1h 45m,R,4.8,871,,,,"['Dark Comedy', 'Comedy']"
tt0073636,Rooster Cogburn,https://www.imdb.com/title/tt0073636,1975,1h 48m,PG,6.8,13K,,,,"['Adventure', 'Drama', 'Western']"
tt0073906,The Wind and the Lion,https://www.imdb.com/title/tt0073906,1975,1h 59m,PG,6.8,10K,4000000.0,,,"['Action Epic', 'Adventure Epic', 'Desert Adventure', 'Epic', 'One-Person Army Action', 'Period Drama', 'Political Drama', 'Swashbuckler', 'Action', 'Adventure']"
tt0073722,Smile,https://www.imdb.com/title/tt0073722,1975,1h 53m,PG,7.1,2.6K,1300000.0,,,"['Mockumentary', 'Satire', 'Comedy']"
tt0072184,Snuff,https://www.imdb.com/title/tt0072184,1975,1h 20m,X,2.8,2.1K,,,,['Horror']
tt0073707,Sholay,https://www.imdb.com/title/tt0073707,1975,2h 42m,Not Rated,8.1,60K,,,,"['Action', 'Adventure', 'Comedy', 'Drama', 'Musical', 'Thriller', 'Western']"
tt0072848,The Day of the Locust,https://www.imdb.com/title/tt0072848,1975,2h 24m,R,6.9,6.6K,,42.0,,"['Drama', 'Thriller']"
tt0072973,"Farewell, My Lovely",https://www.imdb.com/title/tt0072973,1975,1h 35m,R,7.0,10K,2500000.0,,,"['Hard-boiled Detective', 'Crime', 'Mystery', 'Thriller']"
tt0073282,Let's Do It Again,https://www.imdb.com/title/tt0073282,1975,1h 50m,PG,6.7,3.4K,70000.0,,,"['Farce', 'Action', 'Comedy', 'Crime']"
tt0072764,Carry on Behind,https://www.imdb.com/title/tt0072764,1975,1h 30m,Not Rated,5.6,3.1K,,,,"['Parody', 'Slapstick', 'Comedy']"
tt0073458,Nishant,https://www.imdb.com/title/tt0073458,1975,2h 20m,,7.6,767,,,,"['Crime', 'Drama']"
tt0073637,Rosebud,https://www.imdb.com/title/tt0073637,1975,2h 6m,PG,5.2,1.1K,,,,"['Political Drama', 'Political Thriller', 'Spy', 'Action', 'Adventure', 'Drama', 'Thriller']"
tt0072820,Cooley High,https://www.imdb.com/title/tt0072820,1975,1h 47m,PG,7.1,5.7K,750000.0,,,"['Comedy', 'Drama', 'Romance']"
tt0072933,Emmanuelle II,https://www.imdb.com/title/tt0072933,1975,1h 23m,NC-17,4.8,3.9K,,,,"['Steamy Romance', 'Drama', 'Romance']"
tt0072860,Deewaar,https://www.imdb.com/title/tt0072860,1975,2h 54m,,8.0,12K,,65317.0,,"['Action', 'Crime', 'Drama', 'Thriller']"
tt0074472,Emanuelle and Francoise,https://www.imdb.com/title/tt0074472,1975,1h 38m,Not Rated,5.4,831,,,,"['Drama', 'Horror', 'Thriller']"
tt0073203,Playing with Fire,https://www.imdb.com/title/tt0073203,1975,1h 52m,,5.7,735,,,,['Drama']
tt0073496,The Other Side of the Mountain,https://www.imdb.com/title/tt0073496,1975,1h 42m,PG,6.4,1.3K,,,,"['Biography', 'Drama', 'Romance']"
tt0073036,"A Genius, Two Partners and a Dupe",https://www.imdb.com/title/tt0073036,1975,2h 6m,,6.2,6K,3500000000.0,,,"['Parody', 'Spaghetti Western', 'Comedy', 'Western']"
tt0073691,Tarzoon: Shame of the Jungle,https://www.imdb.com/title/tt0073691,1975,1h 25m,R,5.0,1.4K,,,,"['Adult Animation', 'Jungle Adventure', 'Parody', 'Satire', 'Adventure', 'Animation', 'Comedy']"
tt0072930,Black Emanuelle,https://www.imdb.com/title/tt0072930,1975,1h 36m,R,4.6,1.8K,,,,['Drama']
tt0072448,Zorro,https://www.imdb.com/title/tt0072448,1975,2h,G,6.4,4.6K,,1221944.0,,"['Spaghetti Western', 'Superhero', 'Swashbuckler', 'Action', 'Adventure', 'Comedy', 'Romance', 'Western']"
tt0073324,Lips of Blood,https://www.imdb.com/title/tt0073324,1975,1h 28m,Not Rated,5.9,2.1K,,,,"['Horror', 'Thriller']"
tt0073240,The Killer Elite,https://www.imdb.com/title/tt0073240,1975,2h 2m,PG,6.0,7.5K,,,,"['Dark Comedy', 'Action', 'Crime', 'Thriller']"
tt0073615,The Reincarnation of Peter Proud,https://www.imdb.com/title/tt0073615,1975,1h 45m,R,6.4,2.4K,,,,"['Mystery', 'Thriller']"
tt0072963,Familien Gyldenkål,https://www.imdb.com/title/tt0072963,1975,1h 40m,,5.9,559,,,,"['Comedy', 'Crime']"
tt0073836,Last Stop on the Night Train,https://www.imdb.com/title/tt0073836,1975,1h 34m,R,6.1,3.5K,,,,"['Horror', 'Thriller']"
tt0073398,Valentina ...The Virgin Wife,https://www.imdb.com/title/tt0073398,1975,1h 38m,R,5.1,412,,,,['Comedy']
tt0131526,"So Young, So Lovely, So Vicious...",https://www.imdb.com/title/tt0131526,1975,1h 30m,,4.9,487,,,,"['Drama', 'Mystery', 'Thriller']"
tt0252487,The Chaos Class,https://www.imdb.com/title/tt0252487,1975,1h 25m,,9.2,44K,,,,['Comedy']
tt0073597,That Malicious Age,https://www.imdb.com/title/tt0073597,1975,1h 30m,TV-14,4.8,544,,,,"['Drama', 'Romance']"
tt0073760,The Strongest Man in the World,https://www.imdb.com/title/tt0073760,1975,1h 32m,G,5.9,3.8K,,,,"['Slapstick', 'Comedy', 'Family', 'Sci-Fi']"
tt0073387,"My Nights with Susan, Olga, Albert, Julie, Piet & Sandra",https://www.imdb.com/title/tt0073387,1975,1h 25m,,5.2,372,,,,"['Action', 'Drama', 'Horror', 'Thriller']"
tt0381985,Women Behind Bars,https://www.imdb.com/title/tt0381985,1975,1h 15m,Not Rated,4.1,774,,,,"['Crime', 'Thriller']"
tt0072705,Bite the Bullet,https://www.imdb.com/title/tt0072705,1975,2h 12m,PG,6.6,6.1K,4000000.0,,,"['Action', 'Adventure', 'Drama', 'Western']"
tt0071537,Eyeball,https://www.imdb.com/title/tt0071537,1975,1h 31m,R,5.9,2.1K,,,,"['Slasher Horror', 'Crime', 'Horror', 'Mystery', 'Thriller']"
tt0072895,Dolemite,https://www.imdb.com/title/tt0072895,1975,1h 30m,R,5.6,7K,100000.0,,,"['B-Action', 'Action', 'Comedy', 'Crime']"
tt0074800,Linda Lovelace for President,https://www.imdb.com/title/tt0074800,1975,1h 35m,R,4.2,400,,,,['Comedy']
